Player,Team,Season,SeasonType,Games,Min,Pts,OReb,Dreb,Reb,Ast,Stl,Blk,TO,PF,FGM,FGA,FGPer,3PTM,3PTA,3PTPer,FTM,FTA,FTPer
Kobe Bryant,Lakers,2005-2006,REG,80,40.96,35.4,0.89,4.43,5.31,4.5,1.84,0.38,3.13,2.91,12.23,27.16,0.45,2.25,6.48,0.347,8.7,10.24,0.85
LeBron James,Cavaliers,2008-2009,POFF,14,41.41,35.29,1.36,7.79,9.14,7.29,1.64,0.86,2.71,2.14,11.36,22.29,0.51,1.93,5.79,0.333,10.64,14.21,0.749
Gilbert Arenas,Wizards,2005-2006,POFF,6,47.4,34,1.17,4.33,5.5,5.33,2.17,0.67,3.33,3.5,10.83,23.33,0.464,3.33,7.67,0.435,9,11.67,0.771
Tracy McGrady,Magic,2000-2001,POFF,4,44.34,33.75,1.5,5,6.5,8.25,1.75,1.25,2,2.75,12.75,30.75,0.415,0.5,2.5,0.2,7.75,9.5,0.816
Dwyane Wade,Heat,2009-2010,POFF,5,41.96,33.2,1.2,4.4,5.6,6.8,1.6,1.6,5.2,3.2,12.4,22,0.564,3,7.4,0.405,5.4,8,0.675
Allen Iverson,Sixers,2005-2006,REG,72,43.1,33.01,0.61,2.61,3.22,7.39,1.94,0.14,3.44,1.68,11.32,25.31,0.447,1,3.1,0.323,9.38,11.51,0.814
Allen Iverson,76ers,2000-2001,POFF,22,46.37,32.86,0.68,4.05,4.73,6.09,2.36,0.32,2.86,2.5,11.68,30.05,0.389,2.18,6.45,0.338,7.32,9.45,0.774
Kobe Bryant,Lakers,2006-2007,POFF,5,42.95,32.8,0.2,5,5.2,4.4,1,0.4,4.4,2,12,26,0.462,2,5.6,0.357,6.8,7.4,0.919
Michael Jordan,Bulls,1997-1998,POFF,21,41.52,32.38,1.57,3.52,5.1,3.52,1.52,0.57,2.14,2.24,11.57,25.05,0.462,0.62,2.05,0.302,8.62,10.62,0.812
Tracy McGrady,Magic,2002-2003,REG,75,39.38,32.09,1.61,4.89,6.51,5.48,1.65,0.79,2.6,2.08,11.05,24.17,0.457,2.31,5.97,0.386,7.68,9.68,0.793
Kobe Bryant,Lakers,2002-2003,POFF,12,44.22,32.08,1.33,3.75,5.08,5.17,1.17,0.08,3.5,2.92,11.42,26.42,0.432,2.08,5.17,0.403,7.17,8.67,0.827
Kevin Durant,Thunder,2013-2014,REG,81,38.54,32.01,0.72,6.67,7.38,5.49,1.27,0.73,3.52,2.15,10.48,20.84,0.503,2.37,6.06,0.391,8.68,9.94,0.873
Antawn Jamison,Wizards,2006-2007,POFF,4,43.14,32,3.25,6.5,9.75,1.25,0.5,1,1.75,3.25,12.25,25.75,0.476,2.25,6.5,0.346,5.25,7,0.75
Tracy McGrady,Magic,2002-2003,POFF,7,44.1,31.71,1.43,5.29,6.71,4.71,2,0.86,3.71,2.29,10.57,23.57,0.448,2.29,6.71,0.34,8.29,10.71,0.773
Allen Iverson,76ers,2002-2003,POFF,12,46.43,31.67,0.92,3.42,4.33,7.42,2.42,0.08,3.92,2.08,11.42,27.42,0.416,1.58,4.58,0.345,7.25,9.83,0.737
Kobe Bryant,Lakers,2006-2007,REG,77,40.78,31.56,0.97,4.73,5.7,5.36,1.44,0.47,3.31,2.66,10.56,22.82,0.463,1.78,5.17,0.344,8.66,9.97,0.868
Anthony Davis,Pelicans,2014-2015,POFF,4,42.86,31.5,2.25,8.5,10.75,2,1.25,3,3.25,3,11.75,21.75,0.54,0,0.5,0,8,9,0.889
Allen Iverson,76ers,2001-2002,REG,60,43.78,31.38,0.73,3.75,4.48,5.52,2.8,0.22,3.95,1.7,11.08,27.82,0.398,1.3,4.47,0.291,7.92,9.75,0.812
LeBron James,Cavaliers,2005-2006,REG,79,42.54,31.37,0.95,6.09,7.04,6.59,1.56,0.84,3.29,2.29,11.08,23.08,0.48,1.61,4.8,0.335,7.61,10.3,0.738
Reggie Miller,Pacers,2000-2001,POFF,4,44.11,31.25,1.75,3.25,5,2.5,0.75,0.5,2.75,0.75,10.25,22.5,0.456,3.75,8.75,0.429,7,7.5,0.933
Allen Iverson,76ers,2004-2005,POFF,5,47.61,31.2,0,2.2,2.2,10,2,0.4,4.2,2.4,11.8,25.2,0.468,2.4,5.8,0.414,5.2,5.8,0.897
Allen Iverson,76ers,2000-2001,REG,71,41.93,31.08,0.7,3.14,3.85,4.58,2.51,0.28,3.34,2.07,10.73,25.54,0.42,1.38,4.31,0.32,8.24,10.13,0.814
Michael Jordan,Bulls,1996-1997,POFF,19,43.42,31.05,2.21,5.68,7.89,4.79,1.58,0.89,2.58,2.42,11.95,26.21,0.456,0.68,3.53,0.194,6.47,7.79,0.831
Anfernee Hardaway,Magic,1996-1997,POFF,5,45.76,31,1.4,4.6,6,3.4,2.4,1.4,1.8,2.8,10.4,22.2,0.468,2.2,6,0.367,8,10.8,0.741
Kevin Durant,Thunder,2012-2013,POFF,11,44.05,30.82,0.64,8.36,9,6.27,1.27,1.09,3.91,2.36,10.18,22.36,0.455,2,6.36,0.314,8.45,10.18,0.83
LeBron James,Cavaliers,2005-2006,POFF,13,46.5,30.77,1.69,6.38,8.08,5.85,1.38,0.69,5,3.38,11.23,23.62,0.476,1.62,4.85,0.333,6.69,9.08,0.737
Tracy McGrady,Magic,2001-2002,POFF,4,44.46,30.75,1.5,4.75,6.25,5.5,0.5,1.75,3.25,2.75,10.5,22.75,0.462,1.25,4,0.313,8.5,11.5,0.739
Shaquille O'Neal,Lakers,1999-2000,POFF,23,43.49,30.74,5.17,10.26,15.43,3.09,0.57,2.39,2.43,2.91,12.43,21.96,0.566,0,0,0,5.87,12.87,0.456
